,Date,Team,Affected Player,Season,Injury Part,Injury Duration,7_day_distance_avg,28_day_distance_avg,Acute-Chronic Workload Ratio,foot,knee,lower leg,upper leg,back,arm,hand,upper body,core and hip,head and neck,foot_count,knee_count,lower leg_count,upper leg_count,back_count,arm_count,hand_count,upper body_count,core and hip_count,head and neck_count,Total Duration,Total num. of inj
25,2013-11-25,Grizzlies,Marc Gasol,2013-14,knee,50,0.7871428571428571,1.0266666666666666,0.7666975881261596,2,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,1,10,3
26,2013-11-25,Jazz,Enes Kanter,2013-14,foot,4,1.0657142857142858,1.2318518518518522,0.8651318615239241,0,0,0,0,0,0,0,186,0,0,1,0,0,0,0,0,0,1,0,0,186,2
27,2013-11-26,Wizards,Bradley Beal,2013-14,lower leg,20,1.602857142857143,1.342857142857143,1.1936170212765955,12,0,0,181,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,193,4
28,2013-11-26,Magic,Tobias Harris,2013-14,foot,17,0.16285714285714284,0.04071428571428571,4.0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,3
29,2013-11-26,Warriors,Ognjen Kuzmic,2013-14,hand,35,0.01,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2013-11-29,Hawks,Kyle Korver,2013-14,core and hip,5,1.02,1.2253571428571426,0.8324103759836784,0,12,11,0,12,0,6,0,0,0,0,2,1,0,1,0,1,0,1,0,41,6
31,2013-11-29,Cavaliers,Will Bynum,2013-14,core and hip,16,0.26142857142857145,0.37357142857142855,0.69980879541109,35,0,0,8,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,45,4
32,2013-11-29,Hornets,Michael Kidd-Gilchrist,2013-14,foot,2,1.0071428571428571,1.0657142857142856,0.945040214477212,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,4,2
33,2013-11-29,Spurs,Tony Parker,2013-14,foot,1,1.1814285714285713,1.1585714285714286,1.0197287299630085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2013-12-02,Pelicans,Anthony Davis,2013-14,hand,16,1.15,1.0685714285714285,1.0762032085561501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2013-12-03,Kings,DeMarcus Cousins,2013-14,foot,3,0.39142857142857146,0.8225,0.4759009986973513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2013-12-04,Jazz,Marvin Williams,2013-14,foot,7,0.8357142857142856,0.7964285714285715,1.0493273542600896,3,0,0,0,58,0,46,4,3,6,2,0,0,0,3,0,3,1,1,2,120,12
37,2013-12-06,Hornets,Michael Kidd-Gilchrist,2013-14,hand,39,0.4542857142857142,0.8864285714285715,0.5124899274778404,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,6,3
38,2013-12-06,Wizards,Kevin Seraphin,2013-14,knee,3,0.19142857142857145,0.18928571428571428,1.0113207547169811,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2
39,2013-12-07,Heat,Michael Beasley,2013-14,upper leg,1,0.6742857142857143,0.6232142857142857,1.0819484240687678,19,3,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,0,1,0,26,7
40,2013-12-07,Jazz,Derrick Favors,2013-14,back,4,1.182857142857143,1.1842857142857142,0.9987937273823888,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2
41,2013-12-08,Heat,Dwyane Wade,2013-14,knee,2,0.6414285714285715,0.7307142857142858,0.8778103616813294,23,12,2,9,0,0,39,61,2,3,4,6,1,1,0,0,5,2,1,1,151,21
42,2013-12-08,Raptors,Tyler Hansbrough,2013-14,upper body,5,0.6757142857142858,0.5564285714285714,1.2143774069319644,2,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,11,3
43,2013-12-10,Heat,Michael Beasley,2013-14,upper leg,13,0.5157142857142857,0.6017857142857143,0.8569732937685458,19,3,0,1,0,0,0,0,4,0,4,1,0,2,0,0,0,0,1,0,27,8
44,2013-12-10,Pistons,Rodney Stuckey,2013-14,knee,1,0.6428571428571429,0.9582142857142856,0.6708907938874396,7,0,0,0,0,0,55,6,0,0,1,1,0,0,0,0,2,1,0,0,68,5
45,2013-12-10,Spurs,Tiago Splitter,2013-14,lower leg,6,0.08428571428571427,0.5639285714285714,0.14946168461051298,15,0,6,9,1,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,31,6
46,2013-12-10,Thunder,Thabo Sefolosha,2013-14,knee,5,0.942857142857143,0.8139285714285716,1.158402808249232,0,7,11,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,18,3
