,Date,Team,Acquired,Relinquished,Notes
0,1992-11-05,Cavaliers,,Jay Guidinger,placed on IL
1,1992-11-05,Cavaliers,,Jerome Lane,placed on IL
2,1992-11-05,Celtics,,Kenny Battle,placed on IL with inflamed tendon between fourth and fifth fingers on left hand
3,1992-11-05,Celtics,,Marcus Webb,placed on IL with pulled left groin
4,1992-11-13,Kings,,Anthony Webb / Spud Webb,placed on IL with torn ligaments in left wrist
5,1992-11-18,Celtics,,Ed Pinckney,placed on IL with strained left knee & calf
6,1992-11-18,Celtics,Marcus Webb,,activated from IL
7,1992-11-19,Celtics,Kenny Battle,,activated from IL
8,1992-11-19,Nuggets,,Robert Werdann / Rob Werdann,placed on IL
9,1992-11-19,Nuggets,Gary Plummer,,activated from IL
10,1992-12-02,Bulls,,Corey Williams,placed on IL with abdominal strain
11,1992-12-03,Cavaliers,Jerome Lane,,activated from IL
12,1992-12-04,Blazers,,Jerome Kersey,placed on IL with sore left knee
13,1992-12-10,Rockets,,Kennard Winchester,placed on IL
14,1992-12-10,Rockets,Wayne Rollins / Tree Rollins,,activated from IL
15,1992-12-15,Bulls,Corey Williams,,activated from IL
16,1992-12-23,Hawks,,Dominique Wilkins,placed on IL with broken fourth finger on right hand
17,1992-12-30,Blazers,,Clyde Drexler,placed on IL with sore right knee
18,1992-12-31,Cavaliers,,John Williams / Hot Rod Williams,placed on IL
19,1992-12-31,Cavaliers,Jay Guidinger,,activated from IL
20,1993-01-08,Bulls,,Scott Williams,placed on IL with right knee tendinitis
21,1993-01-12,Blazers,,Delaney Rudd,placed on IL with left knee tendinitis
22,1993-01-18,Bulls,,Rodney McCray,placed on IL with sprained right knee
23,1993-01-18,Bulls,Scott Williams,,activated from IL
24,1993-01-20,Spurs,Willie Anderson,,activated from IL
25,1993-02-08,Clippers,,Ken Norman,placed on IL with chicken pox
26,1993-02-08,Knicks,,Eric Anderson (W.),placed on IL
27,1993-02-08,Knicks,Bo Kimble,,activated from IL
28,1993-02-10,Bulls,,John Paxson,placed on IL
29,1993-02-18,Blazers,Delaney Rudd,,activated from IL
30,1993-02-22,Bulls,,Bill Cartwright,placed on IL
31,1993-02-23,Blazers,Delaney Rudd,,activated from IL
32,1993-02-23,Bulls,Rodney McCray,,activated from IL
33,1993-02-23,Clippers,Ken Norman,,activated from IL
34,1993-02-25,Magic,,Terry Catledge,placed on IL
35,1993-02-25,Magic,Dennis Scott,,activated from IL
36,1993-03-02,Blazers,,Clyde Drexler,placed on IL
37,1993-03-02,Blazers,Delaney Rudd,,activated from IL
38,1993-03-02,Warriors,Billy Owens,,activated from IL
39,1993-03-11,Bucks,,Orlando Woolridge,placed on IL
40,1993-03-11,Bucks,Todd Day,,activated from IL
41,1993-03-11,Hawks,,Blair Rasmussen,placed on IL
42,1993-03-19,Bulls,,Trent Tucker,placed on IL
43,1993-03-19,Bulls,John Paxson,,activated from IL
44,1993-03-23,Blazers,,Kevin Duckworth,placed on IL with sore right knee
45,1993-03-24,Bulls,,Corey Williams,placed on IL
46,1993-03-24,Bulls,Bill Cartwright,,activated from IL
47,1993-03-26,Suns,,Jerrod Mustaf,placed on IL with bruised right thigh
48,1993-03-30,Bulls,,Darrell Walker,placed on IL
49,1993-03-30,Bulls,Trent Tucker,,activated from IL
50,1993-04-02,Blazers,,Joe Wolf,placed on IL with upper respiratory infection
51,1993-04-02,Blazers,Kevin Duckworth,,activated from IL
52,1993-04-05,Bucks,,Frank Brickowski,placed on IL
53,1993-04-05,Bucks,Orlando Woolridge,,activated from IL
54,1993-04-06,Blazers,Delaney Rudd,,activated from IL
55,1993-04-11,Suns,Jerrod Mustaf,,activated from IL
56,1993-04-15,Bucks,,Danny Schayes,placed on IL
57,1993-04-15,Bucks,Frank Brickowski,,activated from IL
58,1993-04-20,Bulls,,Ed Nealy,placed on IL
59,1993-04-20,Bulls,Darrell Walker,,activated from IL
60,1993-09-30,Knicks,,Tim McCormick,placed on IL
61,1993-11-04,Bulls,,John Paxson,placed on IL
62,1993-11-04,Bulls,,Scott Williams,placed on IL
63,1993-11-04,Clippers,,Henry James,placed on IL with left knee tendinitis
64,1993-11-04,Magic,,Anthony Cook,placed on IL with recovering from surgery on right knee
65,1993-11-08,Bulls,,Scottie Pippen,placed on IL
66,1993-11-09,Cavaliers,,Larry Nance Sr.,placed on IL
67,1993-11-16,Clippers,Henry James,,activated from IL
68,1993-11-24,Cavaliers,,Gerald Madkins,placed on IL
69,1993-11-24,Cavaliers,Terrell Brandon,,activated from IL
70,1993-11-30,Bulls,,Will Perdue,placed on IL
71,1993-11-30,Bulls,Scottie Pippen,,activated from IL
72,1993-12-20,Pacers,,Jerome Richardson / Pooh Richardson,placed on IL with stress fracture in right leg (date approximate)
73,1993-12-27,Magic,Anthony Cook,,activated from IL
74,1993-12-30,Hornets,,Larry Johnson (Demetric),placed on IL
75,1994-01-04,Bulls,,Bill Cartwright,placed on IL
76,1994-01-04,Bulls,Will Perdue,,activated from IL
77,1994-01-05,Knicks,,Hubert Davis,placed on IL
78,1994-01-05,Lakers,,Sam Bowie,placed on IL
79,1994-01-05,Mavericks,Terry Davis,,activated from IL
80,1994-01-05,Pistons,Dan O'Sullivan,,activated from IL
81,1994-01-12,Bulls,John Paxson,,activated from IL
82,1994-01-16,Pacers,,Vern Fleming,placed on IL with pulled right hamstring
83,1994-01-16,Pacers,Jerome Richardson / Pooh Richardson,,activated from IL
84,1994-01-19,Bulls,,Stacey King,placed on IL
85,1994-01-19,Bulls,Bill Cartwright,,activated from IL
86,1994-02-01,Bulls,,Dave Johnson,placed on IL
87,1994-02-01,Bulls,Scott Williams,,activated from IL
88,1994-02-15,Suns,,Jerrod Mustaf,placed on IL with upper respiratory infection
89,1994-02-16,Bulls,,Toni Kukoc,placed on IL
90,1994-02-16,Bulls,Stacey King,,activated from IL
91,1994-02-23,Magic,Larry Krystkowiak,,activated from IL
92,1994-02-25,Bulls,,Bill Cartwright,placed on IL
93,1994-02-25,Bulls,Toni Kukoc,,activated from IL
94,1994-02-25,Lakers,,Antonio Harvey,placed on IR with strained left hip muscle
95,1994-02-26,76ers,,Shawn Bradley,placed on IL recovering from surgery on left knee
96,1994-02-26,Suns,Jerrod Mustaf,,activated from IL
97,1994-03-08,Bulls,,John Paxson,placed on IL
98,1994-03-15,Bulls,,Will Perdue,placed on IL
99,1994-03-15,Bulls,Bill Cartwright,,activated from IL
100,1994-03-24,Bullets,,Pervis Ellison,placed on IL
101,1994-03-24,Bullets,Calbert Cheaney,,activated from IL
102,1994-04-08,Bulls,,Bill Cartwright,placed on IL
103,1994-04-08,Bulls,John Paxson,,activated from IL
104,1994-04-08,Kings,,Walt Williams,spained lower right leg (out for season)
105,1994-04-09,Bulls,,Jo Jo English,placed on IL
106,1994-04-09,Bulls,Will Perdue,,activated from IL
107,1994-04-21,Magic,,Jeff Turner,placed on IL
108,1994-04-22,Bulls,,Corie Blount,placed on IL
109,1994-04-22,Bulls,Bill Cartwright,,activated from IL
110,1994-10-27,Warriors,,Chris Mullin,"placed on IR with chip fracture and strained ligament in left knee, and pulled hamstring (out 6-8 weeks) (date 11/3 per Stats)"
111,1994-11-01,Nuggets,,LaPhonso Ellis,placed on IR with stress fracture in right kneecap
112,1994-11-02,Celtics,,Pervis Ellison,placed on IR with injured knees
113,1994-11-02,Heat,,Keith Askins,placed on IL with left Achilles tendinitis
114,1994-11-02,Magic,,Greg Grant,placed on IL with hamstring tendinitis
115,1994-11-02,Mavericks,,Roy Tarpley,placed on IL with bursitis in left knee (date 11-04 per Stats)
116,1994-11-02,Pacers,,Damon Bailey,placed on IR with chronic tendinitis in both knees
117,1994-11-02,Pacers,,Scott Haskin,placed on IL with surgery on back
118,1994-11-03,Blazers,,Negele Knight,placed on IL with left ankle tendinitis
119,1994-11-03,Blazers,,Terry Porter (b. 1963-04-08),placed on IL with bone fragments in ankle
120,1994-11-03,Bucks,,Eric Murdock,placed on IL with eye injury
121,1994-11-03,Bullets,,Brent Price,placed on IR with torn ACL (out for season)
122,1994-11-03,Bullets,,Jim McIlvaine,placed on IL with sprained ankle
123,1994-11-03,Bullets,,Kenny Walker,placed on IL with arthroscopic knee surgery
124,1994-11-03,Bulls,,Bill Wennington,placed on IL with sprained left ankle
125,1994-11-03,Bulls,,Jud Buechler,placed on IL with right knee tendinitis
126,1994-11-03,Bulls,,Kevin Rankin,placed on IR with spine
127,1994-11-03,Cavaliers,,Brad Daugherty,placed on IR with surgery to repair herniated discs in back
128,1994-11-03,Cavaliers,,Gerald Wilkins,placed on IL with torn Achilles tendon
129,1994-11-03,Cavaliers,,John Battle,placed on IR with surgery on both knees
130,1994-11-03,Celtics,,Tony Harris,placed on IL with sore back / back spasms
131,1994-11-03,Clippers,,Bob Martin,placed on IL with bruised heel
132,1994-11-03,Clippers,,Gary Grant,placed on IL with swelling and inflammation in knee
133,1994-11-03,Clippers,,Stanley Roberts,placed on IL with ruptured left Achilles tendon
134,1994-11-03,Hawks,,Blair Rasmussen,placed in IL with degenerative spine damage
135,1994-11-03,Hawks,,Craig Ehlo,placed in IR with arthroscopic knee surgery
136,1994-11-03,Hornets,,Joe Courtney,placed on IL with strained right rotator cuff
137,1994-11-03,Hornets,,Tom Tolbert,placed on IR with torn foot muscle
138,1994-11-03,Hornets,,Tony Bennett,placed on IL with sore foot
139,1994-11-03,Jazz,,Jay Humphries,placed on IL with knee surgery
140,1994-11-03,Kings,,Doug Lee,placed on IL with tendinitis in knee
141,1994-11-03,Kings,,Frank Brickowski,placed on IL with separated right shoulder
142,1994-11-03,Kings,,Lionel Simmons,placed on IR with arthroscopic surgery on right knee
143,1994-11-03,Knicks,,Anthony Bonner,placed on IL with loose cartilage in knee
144,1994-11-03,Knicks,,Doug Christie,placed on IL with calcium deposits in ankle
145,1994-11-03,Knicks,,Glenn Rivers / Doc Rivers,placed on IR with knee / sprained ankle (S)
146,1994-11-03,Lakers,,James Worthy,placed on IL with patella tendinitis in left knee
147,1994-11-03,Magic,,Dennis Scott,placed on IL with sore back
148,1994-11-03,Magic,,Geert Hammink,placed on IL with sore back
149,1994-11-03,Nets,,Chris Childs,placed on IL with bone bruise in right foot
150,1994-11-03,Nets,,Eric Floyd / Sleepy Floyd,placed on IL with sore knee
151,1994-11-03,Nets,,Rick Mahorn,placed on IL with bad back
152,1994-11-03,Nuggets,,Darnell Mee,placed on IL with sprained ankle
153,1994-11-03,Pacers,,John Williams (S.),placed on IL with sore knee
154,1994-11-03,Pistons,,Ivano Newbill,placed on IL with hamstring injury
155,1994-11-03,Rockets,,Chris Jent,placed on IL with sore back
156,1994-11-03,Rockets,,Eric Riley,placed on IL with sore back and eye
157,1994-11-03,Sonics,,Rich King,placed on IL with knee surgery
158,1994-11-03,Sonics,,Steve Scheffler,placed on IL with sprained ankle
159,1994-11-03,Suns,,Aaron Swinson,placed on IL with sprained ankle
160,1994-11-03,Timberwolves,,Charles Shackleford,placed on IR with possible herniated disk
161,1994-11-03,Timberwolves,,Melvin Robinson,placed on IL
162,1994-11-03,Timberwolves,Charles Shackleford,,activated from IL
163,1994-11-03,Warriors,,Dwayne Morton,placed on IL with fractured left thumb
164,1994-11-04,Bucks,,Roy Hinson,placed on IL with knee injury
165,1994-11-10,Spurs,,Vinny Del Negro,placed on IL with stress reaction in right leg
166,1994-11-10,Suns,,Charles Barkley,placed on IL with strained stomach muscle
167,1994-11-11,Bulls,Jud Buechler,,activated from IL
168,1994-11-11,Timberwolves,,Micheal Williams,placed on IL with sore left heel
169,1994-11-14,Hornets,,Michael Adams,placeed on IR with strained left hamstring
170,1994-11-14,Hornets,Joe Courtney,,activated from IL
171,1994-11-15,Bullets,Jim McIlvaine,,activated from IL
172,1994-11-15,Nets,,Yinka Dare,placed on IL with right knee tendinitis
173,1994-11-15,Nets,Eric Floyd / Sleepy Floyd,,activated from IL
174,1994-11-15,Suns,,Antonio Lang,placed on IL with lower back spasms
175,1994-11-15,Suns,Aaron Swinson,,activated from IL
176,1994-11-16,Bulls,,Larry Krystkowiak,placed on IL with right knee surgery
177,1994-11-16,Bulls,,Luc Longley,placed on IL with stress fracture in left leg
178,1994-11-16,Bulls,Bill Wennington,,activated from IL
179,1994-11-16,Bulls,Jud Buechler,,activated from IL
180,1994-11-16,Celtics,,Sherman Douglas,placed on IL with sprained ligament in knee
181,1994-11-16,Celtics,Tony Harris,,activated from IL
182,1994-11-16,Heat,Keith Askins,,activated from IL
183,1994-11-16,Mavericks,Roy Tarpley,,activated from IL
184,1994-11-17,Bullets,,Anthony Tucker,placed on IL with right knee tendinitis (date 11/15 per Stats)
185,1994-11-17,Magic,Geert Hammink,,activated from IL
186,1994-11-19,Nuggets,,LaPhonso Ellis,placed on IL with surgery on right knee (date approximate)
187,1994-11-20,Blazers,,Rod Strickland,placed on IL with fracture in right wrist
188,1994-11-21,Bucks,Eric Murdock,,activated from IL
189,1994-11-25,Spurs,,Terry Cummings,placed on IL with bruised ribs
190,1994-11-25,Spurs,Vinny Del Negro,,activated from IL
191,1994-11-26,Hornets,,Tyrone Bogues / Muggsy Bogues,pulled groin (DTD)
192,1994-11-26,Suns,,Kevin Johnson,placed on IL with strained right groin
193,1994-11-26,Suns,Charles Barkley,,activated from IL
194,1994-11-28,Magic,Greg Grant,,activated from IL
195,1994-11-29,Bullets,,Gheorghe Muresan,placed on IL with sprained left knee
196,1994-11-29,Bullets,Anthony Tucker,,activated from IL
197,1994-11-29,Hawks,Craig Ehlo,,activated from IL
198,1994-11-29,Knicks,,Charlie Ward,placed on IL with sprained right wrist
199,1994-11-29,Knicks,,Ron Grandison / Ronnie Grandison,placed on IL with left knee tendinitis
200,1994-11-29,Knicks,Anthony Bonner,,activated from IL
201,1994-11-29,Knicks,Glenn Rivers / Doc Rivers,,activated from IL
202,1994-11-30,Hornets,,Kenny Gattison,placed on IR with cervical spine sprain (out for season)
203,1994-11-30,Magic,,Geert Hammink,placed on IL with sore knee
204,1994-11-30,Magic,,Rodney Dent,placed on IR with serious ligament damage in left knee
205,1994-11-30,Magic,Dennis Scott,,activated from IL
206,1994-11-30,Nets,,Kevin Edwards,placed on IR with partial tear of left Achilles tendon
207,1994-11-30,Nets,Rick Mahorn,,activated from IL
208,1994-11-30,Warriors,,Manute Bol,placed on IR with arthroscopic surgery on right knee
209,1994-12-01,Rockets,Chris Jent,,activated from IL
210,1994-12-01,Warriors,Dwayne Morton,,activated from IL
211,1994-12-02,Bulls,,Corie Blount,placed on IR with infected right foot
212,1994-12-02,Bulls,Larry Krystkowiak,,activated from IL
213,1994-12-02,Nuggets,,Reggie Williams,placed on IL with sprained ligament in right knee (date 12-04 per Stats)
214,1994-12-02,Nuggets,Darnell Mee,,activated from IL
215,1994-12-03,Jazz,Jay Humphries,,activated from IL
216,1994-12-04,Blazers,,Aaron McKie,placed on IL with sore right thumb
217,1994-12-04,Blazers,Negele Knight,,activated from IL
218,1994-12-05,Clippers,Bob Martin,,activated from IL
219,1994-12-06,Cavaliers,John Battle,,activated from IL
220,1994-12-06,Clippers,,Elmore Spencer,placed on IR with behavior and personal problems (date 12/5 per Stats)
221,1994-12-06,Pacers,,Antonio Davis,placed on IR with disc problems in lower back
222,1994-12-06,Pacers,John Williams (S.),,activated from IL
223,1994-12-06,Spurs,,Willie Anderson,placed on IL with strained right elbow
224,1994-12-06,Spurs,Terry Cummings,,activated from IL
225,1994-12-07,Kings,,Henry Turner,placed on IL with sprained right big toe
226,1994-12-07,Kings,Doug Lee,,activated from IL
227,1994-12-09,Blazers,,James Edwards,placed on IL with bruised right thigh
228,1994-12-09,Blazers,Rod Strickland,,activated from IL
229,1994-12-10,Pistons,,Lindsey Hunter,placed on IL with fractured right foot / ankle (Stats)
230,1994-12-10,Pistons,,Oliver Miller,placed on IR with broken fifth metacarpal in right hand (out 2 weeks)
231,1994-12-10,Pistons,Ivano Newbill,,activated from IL
232,1994-12-10,Spurs,,Julius Nwosu,placed on IR with right tibia stress fracture
233,1994-12-12,Bullets,,Don MacLean,placed on IR with chronically sore knees
234,1994-12-12,Bullets,Gheorghe Muresan,,activated from IL
235,1994-12-12,Celtics,,Dino Radja,placed on IR with broken bone in left hand
236,1994-12-12,Celtics,,Tony Harris,plaved on IR with sore knee
237,1994-12-12,Celtics,Sherman Douglas,,activated from IL
238,1994-12-12,Rockets,Eric Riley,,activated from IL
239,1994-12-12,Suns,,Aaron Swinson,placed on IL with tendinitis in knee
240,1994-12-12,Suns,Kevin Johnson,,activated from IL
241,1994-12-12,Celtics,Pervis Ellison,,activated from IL
242,1994-12-13,Bulls,Corie Blount,,activated from IL
243,1994-12-14,Kings,,Trevor Wilson,placed on IL with strained right elbow
244,1994-12-15,Kings,Lionel Simmons,,activated from IL
245,1994-12-15,Knicks,Ron Grandison / Ronnie Grandison,,activated from IL
246,1994-12-15,Nuggets,,Darnell Mee,placed on IL with sprained right ankle
247,1994-12-15,Nuggets,Reggie Williams,,activated from IL
248,1994-12-15,Pistons,,Mark West (Andre),placed on IL with torn cartilage in left knee (date approximate)
249,1994-12-16,Knicks,Charlie Ward,,activated from IL
250,1994-12-16,Timberwolves,,Stacey King,placed on IL with sprained left knee / ankle
251,1994-12-17,Hornets,Tom Tolbert,,activated from IL
252,1994-12-18,Blazers,James Edwards,,activated from IL
253,1994-12-20,Warriors,,Ricky Pierce,placed on IL with bulging disc in lower back
254,1994-12-23,Bullets,,Chris Webber,placed on IR with dislocated shoulder
255,1994-12-23,Bullets,Anthony Tucker,,activated from IL
256,1994-12-23,Bullets,Kenny Walker,,activated from IL
257,1994-12-23,Pistons,Oliver Miller,,activated from IL
258,1994-12-27,Knicks,,Charles Oakley,placed on IR with dislocated toe
259,1994-12-27,Knicks,Doug Christie,,activated from IL
260,1994-12-27,Nets,,Sean Higgins,placed on IR with asthmatic bronchitis & flu
261,1994-12-27,Nets,Chris Childs,,activated from IL
262,1994-12-28,Celtics,Tony Harris,,activated from IL
263,1994-12-29,Suns,Aaron Swinson,,activated from IL
264,1994-12-30,Pistons,,Oliver Miller,placed on IL with broken right hand (wrist per Stats) (out 4-5 weeks)
265,1994-12-30,Spurs,,Chris Whitney,placed on IR with tendinitis
266,1994-12-30,Spurs,Willie Anderson,,activated from IL
267,1994-12-30,Timberwolves,,Andres Guibert,placed on IL with strained lower back
268,1994-12-30,Timberwolves,Stacey King,,activated from IL
269,1995-01-02,Jazz,,David Benoit,placed on IL with stress reaction in right ankle
270,1995-01-02,Knicks,,Herb Williams,placed on IL with broken left hand (out 6-8 weeks)
271,1995-01-03,Bulls,,Larry Krystkowiak,"placed on IR with inflammation of right knee (date 01-04 per P, Bulls media guide)"
272,1995-01-03,Pistons,,Lindsey Hunter,placed on IR with surgery to repair fractured bone in right foot (date approximate)
273,1995-01-04,Bulls,Luc Longley,,activated from IL
274,1995-01-05,Clippers,Gary Grant,,activated from IL
275,1995-01-09,Blazers,,Steve Henson,placed on IL with sprained toe on left foot
276,1995-01-09,Blazers,Aaron McKie,,activated from IL
277,1995-01-09,Celtics,,Acie Earl,placed on IL with sprained right wrist
278,1995-01-09,Celtics,Dino Radja,,activated from IL
279,1995-01-09,Lakers,,Sedale Threatt,placed on IL with stress fracture in right foot
280,1995-01-09,Kings,Trevor Wilson,,activated from IL
281,1995-01-10,Warriors,,Carlos Rogers,placed on IL with strained lower back
282,1995-01-10,Warriors,Chris Mullin,,activated from IL
283,1995-01-11,Timberwolves,Charles Shackleford,,activated from IL
284,1995-01-12,Magic,,Jeff Turner,placed on IL with swelling in left knee
285,1995-01-12,Magic,Jeff Turner,,activated from IL
286,1995-01-13,Spurs,,Moses Malone,placed on IR with injured right ankle
287,1995-01-13,Spurs,Chris Whitney,,activated from IL
288,1995-01-13,Timberwolves,,Stacey King,placed on IR with sprained left ankle
289,1995-01-16,Nuggets,,Tom Hammonds,placed on IR with sprained ligaments in right knee
290,1995-01-16,Nuggets,Darnell Mee,,activated from IL
291,1995-01-17,Jazz,,Felton Spencer,place on IR with torn left Achilles tendon (out for season)
292,1995-01-18,Jazz,,Jay Humphries,placed on IL with sore knee
293,1995-01-18,Jazz,David Benoit,,activated from IL
294,1995-01-19,Blazers,,Aaron McKie,placed on IL with sprained right shoulder
295,1995-01-19,Nets,,Eric Floyd / Sleepy Floyd,placed on IL with tendinitis in both knees
296,1995-01-19,Nets,Sean Higgins,,activated from IL
297,1995-01-19,Pistons,Mark West (Andre),,activated from IL
298,1995-01-19,Warriors,,Chris Mullin,placed on IL with sprained left ankle
299,1995-01-19,Warriors,Carlos Rogers,,activated from IL
300,1995-01-20,Blazers,Steve Henson,,activated from IL
301,1995-01-20,Celtics,,Derek Strong,placed on IR with bruised left shoulder
302,1995-01-20,Celtics,Acie Earl,,activated from IL
303,1995-01-20,Hornets,,Tom Tolbert,placed on IR with left foot
304,1995-01-20,Hornets,Michael Adams,,activated from IL
305,1995-01-24,Pistons,,Ivano Newbill,placed on IR with sore left Achilles heel (date 1/26 per Stats)
306,1995-01-24,Pistons,Oliver Miller,,activated from IL (date 1/26 per Stats)
307,1995-01-26,Cavaliers,,Mark Price,placed on IL with broken right wrist
308,1995-01-27,Mavericks,,Roy Tarpley,placed on IL with right knee tendinitis
309,1995-01-27,Nuggets,,Darnell Mee,placed on IL with sprained ankle
310,1995-01-27,Nuggets,Tom Hammonds,,activated from IL
311,1995-01-31,Lakers,,Sam Bowie,placed on IL with sprained right thumb
312,1995-01-31,Lakers,Sedale Threatt,,activated from IL
313,1995-02-01,Nets,,Sean Higgins,placed on IL with sprained right ankle
314,1995-02-01,Nets,Eric Floyd / Sleepy Floyd,,activated from IL
315,1995-02-01,Nuggets,Darnell Mee,,activated from IL
316,1995-02-02,Rockets,,Carl Herrera,placed on IL with hamstring injury
317,1995-02-02,Timberwolves,,Chris Smith (G.),placed on IR with Achilles tendinitis
318,1995-02-02,Timberwolves,Stacey King,,activated from IL
319,1995-02-03,Bullets,Chris Webber,,activated from IL
320,1995-02-04,Bullets,,Rex Chapman,placed on IR with fractured tip of right thumb (out 3 weeks)
321,1995-02-04,Rockets,,Robert Horry,placed on IL
322,1995-02-06,Clippers,,Eric Riley,"placed on IR with brused collarbone, bruised ribs, bruised left foot, and split lip (suffered in car accident)"
323,1995-02-06,Clippers,Elmore Spencer,,activated from IL
324,1995-02-06,Suns,Antonio Lang,,activated from IL
325,1995-02-06,Suns,,Danny Manning,placed on IL with torn ACL in left knee
326,1995-02-08,Celtics,,Jay Humphries,placed on IL
327,1995-02-08,Celtics,Derek Strong,,activated from IL
328,1995-02-08,Kings,,Doug Lee,placed on IL with back spasms
329,1995-02-08,Kings,Henry Turner,,activated from IL
330,1995-02-13,Lakers,,Cedric Ceballos,placed on IL with torn ligament in right thumb
331,1995-02-14,Blazers,Aaron McKie,,activated from IL
332,1995-02-14,Hawks,,Craig Ehlo,surgery on left knee (out 4-6 weeks)
333,1995-02-14,Knicks,Herb Williams,,activated from IL
334,1995-02-14,Rockets,,Robert Horry,placed on IR with strained back
335,1995-02-14,Timberwolves,Chris Smith (G.),,activated from IL
336,1995-02-14,Warriors,,Ryan Lorthridge,placed on IR with viral influenza
337,1995-02-14,Warriors,Ricky Pierce,,activated from IL
338,1995-02-15,76ers,,B.J. Tyler,placed on IL with strained abdominal muscle
339,1995-02-15,Lakers,Sam Bowie,,activated from IL
340,1995-02-15,Warriors,Manute Bol,,activated from IL
341,1995-02-16,Nets,Sean Higgins,,activated from IL
342,1995-02-17,76ers,,Clarence Weatherspoon,placed on IL with sprained right ankle
343,1995-02-17,Blazers,,James Edwards,placed on IR with pulled stomach muscle / acute gastritis
344,1995-02-17,Blazers,Terry Porter (b. 1963-04-08),,activated from IL
345,1995-02-17,Nets,,Eric Floyd / Sleepy Floyd,placed on IR with degenerative left knee (date 2/16 per Stats)
346,1995-02-18,Pacers,,LaSalle Thompson,placed on IR with torn shoulder tendon
347,1995-02-18,Timberwolves,,Stacey King,placed on IR with sprained left ankle
348,1995-02-19,Pacers,Antonio Davis,,activated from IL
349,1995-02-20,Clippers,,Gary Grant,placed on IL with strained lower back
350,1995-02-21,Bullets,,Kenny Walker,placed on IL with tendinitis in both knees
351,1995-02-21,Bullets,Rex Chapman,,activated from IL
352,1995-02-21,Clippers,,Elmore Spencer,placed on IL with sprained left ankle
353,1995-02-21,Clippers,Eric Riley,,activated from IL
354,1995-02-21,Mavericks,,Doug Smith,placed on IL with sprained right knee
355,1995-02-21,Rockets,Carl Herrera,,activated from IL
356,1995-02-21,Warriors,,Rony Seikaly,placed on IR with right knee (ankle per Stats) tendinitis
357,1995-02-21,Warriors,Ryan Lorthridge,,activated from IL
358,1995-02-22,Lakers,,Eddie Jones,placed on IL with sprained right shoulder
359,1995-02-22,Nuggets,,Reggie Slater,placed on IL with torn ligament in knee
360,1995-02-22,Rockets,,Tim Breaux,placed on IL with strained lower back (date 02-21 per Stats)
361,1995-02-23,Rockets,,Zan Tabak,placed on IL with strained lower back
362,1995-02-23,Rockets,Robert Horry,,activated from IL
363,1995-02-24,Hawks,,Craig Ehlo,placed on IL with torn cartilage in left knee
364,1995-02-24,Sonics,,Dontonio Wingfield,placed on IR with lumbar strain
365,1995-02-24,Sonics,Steve Scheffler,,activated from IL
366,1995-02-25,Knicks,Charles Oakley,,activated from IL
367,1995-02-26,76ers,,Jeff Malone,placed on IL with bruised right heel
368,1995-02-26,76ers,B.J. Tyler,,activated from IL
369,1995-02-26,76ers,Clarence Weatherspoon,,activated from IL
370,1995-02-26,Knicks,,Anthony Bonner,placed on IL with sprained right ankle
371,1995-02-26,Timberwolves,,Charles Shackleford,placed on IL with strained lower back
372,1995-02-26,Timberwolves,Stacey King,,activated from IL
373,1995-02-27,Celtics,,David Wesley,placed on IL with surgery on left knee
374,1995-02-27,Lakers,,Sam Bowie,placed on IL with fractured rib
375,1995-02-27,Timberwolves,Charles Shackleford,,activated from IL
376,1995-02-28,Bullets,,Rex Chapman,placed on IR with fractured right thumb
377,1995-02-28,Bullets,Don MacLean,,activated from IL
378,1995-02-28,Lakers,,George Lynch,placed on IL with stress fracture in right foot
379,1995-02-28,Mavericks,Roy Tarpley,,activated from IL
380,1995-03-01,Pistons,,Bill Curley,placed on IR with severely sprained right ankle
381,1995-03-01,Pistons,Ivano Newbill,,activated from IL
382,1995-03-02,Rockets,,Carl Herrera,placed on IL with strained left hamstring
383,1995-03-02,Rockets,,Robert Horry,placed on IR with inflamed facet joint in lower back
384,1995-03-02,Rockets,Tim Breaux,,activated from IL
385,1995-03-03,Nuggets,,Robert Pack,placed on IR with left knee injury
386,1995-03-03,Rockets,Zan Tabak,,activated from IL
387,1995-03-03,Timberwolves,,Pat Durham,placed on IL with sprained right ankle
388,1995-03-03,Timberwolves,Andres Guibert,,activated from IL
389,1995-03-04,Hawks,,Jim Les,placed on IL with left foot injury
390,1995-03-04,Mavericks,,Jim Jackson,placed on IL with sprained left ankle
391,1995-03-04,Mavericks,Doug Smith,,activated from IL
392,1995-03-06,Heat,,Khalid Reeves,placed on IL with sprained left ankle
393,1995-03-07,Knicks,,Charles Smith (Daniel),placed on IL with sprained left knee
394,1995-03-07,Pistons,Lindsey Hunter,,activated from IL
395,1995-03-07,Warriors,,Carlos Rogers,placed on IR with bone chips in right ankle (date 3/8 per Stats)
396,1995-03-08,Knicks,Anthony Bonner,,activated from IL
397,1995-03-10,Bullets,,Larry Stewart,placed on IR with injured foot
398,1995-03-10,Bullets,Rex Chapman,,activated from IL
399,1995-03-11,Warriors,,Ricky Pierce,placed on IR with plantar faciitis in right heel
400,1995-03-11,Warriors,Chris Mullin,,activated from IL
401,1995-03-12,Rockets,Carl Herrera,,activated from IL
402,1995-03-12,Timberwolves,Pat Durham,,activated from IL
403,1995-03-13,Timberwolves,,Andres Guibert,placed on IL with strained lower back (date 03-12 per Stats)
