,level_0,index,Unnamed: 0,Unnamed: 0.1,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration,foot,knee,lower leg,upper leg,back,arm,hand,upper body,core and hip,head and neck,foot_count,knee_count,lower leg_count,upper leg_count,back_count,arm_count,hand_count,upper body_count,core and hip_count,head and neck_count,Total Duration,Total num. of inj,days since start,Season Type,Date_adjusted,7_day_back,28_day_back,playoff start date,days_since_start_of_playoffs,player_id,Team_id
17,66,66,66,18837.0,2013-11-21,Bulls,,Jimmy Butler,placed on IL with turf toe,Jimmy Butler,2013-14,turf toe,foot,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Regular Season,11/21/2013,11/14/2013,10/29/2013,04/19/2014,0,202710,1610612741
18,67,67,67,18842.0,2013-11-22,Cavaliers,,CJ Miles,placed on IL with right calf injury,CJ Miles,2013-14,right calf injury,lower leg,8,6,0,0,0,0,0,51,0,0,5,1,0,1,0,0,0,2,0,0,1,62,5,24,Regular Season,11/22/2013,11/15/2013,10/29/2013,04/19/2014,0,101139,1610612739
19,68,68,68,18850.0,2013-11-22,Raptors,,Quincy Acy,placed on IL with sprained right ankle,Quincy Acy,2013-14,sprained right ankle,foot,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Regular Season,11/22/2013,11/15/2013,10/29/2013,04/19/2014,0,203112,1610612761
20,69,69,69,18861.0,2013-11-23,Warriors,,Andre Iguodala,placed on IL with strained left hamstring,Andre Iguodala,2013-14,strained left hamstring,upper leg,24,35,4,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,39,5,25,Regular Season,11/23/2013,11/16/2013,10/29/2013,04/19/2014,0,2738,1610612744
21,70,70,70,18859.0,2013-11-23,Spurs,,Boris Diaw,placed on IL with rib injury,Boris Diaw,2013-14,rib injury,core and hip,2,0,0,0,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,43,5,25,Regular Season,11/23/2013,11/16/2013,10/29/2013,04/19/2014,0,2564,1610612759
22,71,71,71,18857.0,2013-11-23,Magic,,Tobias Harris,placed on IL with sprained left ankle,Tobias Harris,2013-14,sprained left ankle,foot,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,25,Regular Season,11/23/2013,11/16/2013,10/29/2013,04/19/2014,0,202699,1610612753
23,72,72,72,18864.0,2013-11-24,Magic,,Kyle O'Quinn,placed on IL with sprained right ankle,Kyle O'Quinn,2013-14,sprained right ankle,foot,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Regular Season,11/24/2013,11/17/2013,10/29/2013,04/19/2014,0,203124,1610612753
24,73,73,73,18866.0,2013-11-24,Thunder,,Russell Westbrook,placed on IL with knee injury,Russell Westbrook,2013-14,knee injury,knee,3,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,26,Regular Season,11/24/2013,11/17/2013,10/29/2013,04/19/2014,0,201566,1610612760
25,74,74,74,18863.0,2013-11-24,Bulls,,Derrick Rose,placed on IL with torn meniscus in right knee (out for season),Derrick Rose,2013-14,torn meniscus in right knee ,knee,311,13,0,3,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,17,6,26,Regular Season,11/24/2013,11/17/2013,10/29/2013,04/19/2014,0,201565,1610612741
26,75,75,75,18870.0,2013-11-25,Heat,,Mario Chalmers,placed on IL with strained hip flexor,Mario Chalmers,2013-14,strained hip flexor,core and hip,2,7,7,0,0,0,0,22,0,0,0,1,1,0,0,0,0,2,0,1,0,36,5,27,Regular Season,11/25/2013,11/18/2013,10/29/2013,04/19/2014,0,201596,1610612748
27,76,76,76,18869.0,2013-11-25,Grizzlies,,Marc Gasol,placed on IL with sprained MCL in left knee,Marc Gasol,2013-14,sprained MCL in left knee,knee,50,2,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,1,10,3,27,Regular Season,11/25/2013,11/18/2013,10/29/2013,04/19/2014,0,201188,1610612763
28,77,77,77,18871.0,2013-11-25,Jazz,,Enes Kanter,placed on IL with sprained right ankle,Enes Kanter,2013-14,sprained right ankle,foot,4,0,0,0,0,0,0,0,186,0,0,1,0,0,0,0,0,0,1,0,0,186,2,27,Regular Season,11/25/2013,11/18/2013,10/29/2013,04/19/2014,0,202683,1610612762
29,78,78,78,18880.0,2013-11-26,Wizards,,Bradley Beal,placed on IL with stress injury in right fibula,Bradley Beal,2013-14,stress injury in right fibula,lower leg,20,12,0,0,181,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,193,4,28,Regular Season,11/26/2013,11/19/2013,10/29/2013,04/19/2014,0,203078,1610612764
30,79,79,79,18875.0,2013-11-26,Magic,,Tobias Harris,placed on IL with left ankle injury,Tobias Harris,2013-14,left ankle injury,foot,17,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,3,28,Regular Season,11/26/2013,11/19/2013,10/29/2013,04/19/2014,0,202699,1610612753
31,80,80,80,18878.0,2013-11-26,Warriors,,Ognjen Kuzmic,placed on IL with fractured right hand,Ognjen Kuzmic,2013-14,fractured right hand,hand,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Regular Season,11/26/2013,11/19/2013,10/29/2013,04/19/2014,0,203136,1610612744
32,81,81,81,18893.0,2013-11-29,Hawks,,Kyle Korver,placed on IL with bruised ribs,Kyle Korver,2013-14,bruised ribs,core and hip,5,0,12,11,0,12,0,6,0,0,0,0,2,1,0,1,0,1,0,1,0,41,6,31,Regular Season,11/29/2013,11/22/2013,11/01/2013,04/19/2014,0,2594,1610612737
33,82,82,82,18892.0,2013-11-29,Cavaliers,,Will Bynum,placed on IL with strained left hip,Will Bynum,2013-14,strained left hip,core and hip,16,35,0,0,8,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,45,4,31,Regular Season,11/29/2013,11/22/2013,11/01/2013,04/19/2014,0,101198,1610612739
34,83,83,83,18890.0,2013-11-29,Hornets,,Michael Kidd-Gilchrist,placed on IL with foot injury,Michael Kidd-Gilchrist,2013-14,foot injury,foot,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,4,2,31,Regular Season,11/29/2013,11/22/2013,11/01/2013,04/19/2014,0,203077,1610612766
35,84,84,84,18909.0,2013-11-29,Spurs,,Tony Parker,placed on IL with sprained ankle,Tony Parker,2013-14,sprained ankle,foot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Regular Season,11/29/2013,11/22/2013,11/01/2013,04/19/2014,0,2225,1610612759
36,85,85,85,18902.0,2013-11-29,Nets,,Jason Terry,placed on IL with bruised left knee,Jason Terry,2013-14,bruised left knee,knee,24,0,0,4,0,0,0,19,0,0,12,0,1,1,0,0,0,1,0,0,1,35,4,31,Regular Season,11/29/2013,11/22/2013,11/01/2013,04/19/2014,0,1891,1610612751
37,86,86,86,18917.0,2013-11-30,Suns,,Alex Len,placed on IL with left ankle injury,Alex Len,2013-14,left ankle injury,foot,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Regular Season,11/30/2013,11/23/2013,11/02/2013,04/19/2014,0,203458,1610612756
38,87,87,87,18922.0,2013-12-02,Pelicans,,Anthony Davis,placed on IL with fractured left hand,Anthony Davis,2013-14,fractured left hand,hand,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Regular Season,12/02/2013,11/25/2013,11/04/2013,04/19/2014,0,203076,1610612740
39,88,88,88,18926.0,2013-12-03,Kings,,DeMarcus Cousins,placed on IL with ankle injury,DeMarcus Cousins,2013-14,ankle injury,foot,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,Regular Season,12/03/2013,11/26/2013,11/05/2013,04/19/2014,0,202326,1610612758
40,89,89,89,18936.0,2013-12-04,Jazz,,Marvin Williams,placed on IL with heel injury,Marvin Williams,2013-14,heel injury,foot,7,3,0,0,0,58,0,46,4,3,6,2,0,0,0,3,0,3,1,1,2,120,12,36,Regular Season,12/04/2013,11/27/2013,11/06/2013,04/19/2014,0,101107,1610612762
41,90,90,90,18940.0,2013-12-06,Hornets,,Michael Kidd-Gilchrist,placed on IL with fractured left hand,Michael Kidd-Gilchrist,2013-14,fractured left hand,hand,39,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,6,3,38,Regular Season,12/06/2013,11/29/2013,11/08/2013,04/19/2014,0,203077,1610612766
42,91,91,91,18947.0,2013-12-06,Wizards,,Kevin Seraphin,placed on IL with knee injury,Kevin Seraphin,2013-14,knee injury,knee,3,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,38,Regular Season,12/06/2013,11/29/2013,11/08/2013,04/19/2014,0,202338,1610612764
43,92,92,92,18952.0,2013-12-07,Heat,,Michael Beasley,placed on IL with strained left hamstring,Michael Beasley,2013-14,strained left hamstring,upper leg,1,19,3,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,0,1,0,26,7,39,Regular Season,12/07/2013,11/30/2013,11/09/2013,04/19/2014,0,201563,1610612748
44,93,93,93,18954.0,2013-12-07,Jazz,,Derrick Favors,placed on IL with sore lower back,Derrick Favors,2013-14,sore lower back,back,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,39,Regular Season,12/07/2013,11/30/2013,11/09/2013,04/19/2014,0,202324,1610612762
45,94,94,94,18959.0,2013-12-08,Heat,,Dwyane Wade,placed on IL with resting knees,Dwyane Wade,2013-14,resting knees,knee,2,23,12,2,9,0,0,39,61,2,3,4,6,1,1,0,0,5,2,1,1,151,21,40,Regular Season,12/08/2013,12/01/2013,11/10/2013,04/19/2014,0,2548,1610612748
46,95,95,95,18962.0,2013-12-08,Raptors,,Tyler Hansbrough,placed on IL with sprained left shoulder,Tyler Hansbrough,2013-14,sprained left shoulder,upper body,5,2,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,11,3,40,Regular Season,12/08/2013,12/01/2013,11/10/2013,04/19/2014,0,201946,1610612761
47,96,96,96,18966.0,2013-12-09,Wizards,,Al Harrington,placed on IL recovering from arthroscopic surgery on right knee,Al Harrington,2013-14,L recovering from arthroscopic surgery on right knee,knee,75,4,131,0,22,41,0,8,0,0,0,2,3,0,2,3,0,1,0,0,0,206,11,41,Regular Season,12/09/2013,12/02/2013,11/11/2013,04/19/2014,0,1733,1610612764
48,97,97,97,18968.0,2013-12-10,Heat,,Michael Beasley,placed on IL with strained left hamstring,Michael Beasley,2013-14,strained left hamstring,upper leg,13,19,3,0,1,0,0,0,0,4,0,4,1,0,2,0,0,0,0,1,0,27,8,42,Regular Season,12/10/2013,12/03/2013,11/12/2013,04/19/2014,0,201563,1610612748
49,98,98,98,18970.0,2013-12-10,Pistons,,Rodney Stuckey,placed on IL with knee injury,Rodney Stuckey,2013-14,knee injury,knee,1,7,0,0,0,0,0,55,6,0,0,1,1,0,0,0,0,2,1,0,0,68,5,42,Regular Season,12/10/2013,12/03/2013,11/12/2013,04/19/2014,0,201155,1610612765
50,99,99,99,18972.0,2013-12-10,Spurs,,Tiago Splitter,placed on IL with left calf injury,Tiago Splitter,2013-14,left calf injury,lower leg,6,15,0,6,9,1,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,31,6,42,Regular Season,12/10/2013,12/03/2013,11/12/2013,04/19/2014,0,201168,1610612759
51,100,100,100,18974.0,2013-12-10,Thunder,,Thabo Sefolosha,placed on IL with sprained right knee,Thabo Sefolosha,2013-14,sprained right knee,knee,5,0,7,11,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,18,3,42,Regular Season,12/10/2013,12/03/2013,11/12/2013,04/19/2014,0,200757,1610612760
52,101,101,101,18976.0,2013-12-11,Clippers,,JJ Redick,placed on IL with fractured right hand,JJ Redick,2013-14,fractured right hand,hand,30,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,38,4,43,Regular Season,12/11/2013,12/04/2013,11/13/2013,04/19/2014,0,200755,1610612746
53,102,102,102,18994.0,2013-12-13,Warriors,,Jermaine O'Neal,placed on IL recovering from arthroscopic surgery on right wrist to repair torn ligament,Jermaine O'Neal,2013-14,L recovering from arthroscopic surgery on right wrist to repair torn ligament,hand,53,22,231,11,12,2,0,58,44,5,0,4,13,4,1,1,0,2,1,2,0,385,28,45,Regular Season,12/13/2013,12/06/2013,11/15/2013,04/19/2014,0,979,1610612744
54,103,103,103,18995.0,2013-12-14,Cavaliers,,Tyler Zeller,placed on IL with sprained right ankle,Tyler Zeller,2013-14,sprained right ankle,foot,3,2,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,1,12,3,46,Regular Season,12/14/2013,12/07/2013,11/16/2013,04/19/2014,0,203092,1610612739
55,104,104,104,19012.0,2013-12-16,Wizards,,Nene,placed on IL with right foot tendinitis,Nene,2013-14,right foot tendinitis,foot,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Regular Season,12/16/2013,12/09/2013,11/18/2013,04/19/2014,0,2403,1610612764
56,105,105,105,19021.0,2013-12-18,Knicks,,Pablo Prigioni,placed on IL fractured right toe,Pablo Prigioni,2013-14,L fractured right toe,foot,35,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,50,Regular Season,12/18/2013,12/11/2013,11/20/2013,04/19/2014,0,203143,1610612752
57,106,106,106,19028.0,2013-12-18,Pistons,,Rodney Stuckey,placed on IL with sore right shoulder,Rodney Stuckey,2013-14,sore right shoulder,upper body,3,7,1,0,0,0,0,55,6,0,0,1,1,0,0,0,0,2,2,0,0,69,6,50,Regular Season,12/18/2013,12/11/2013,11/20/2013,04/19/2014,0,201155,1610612765
