,level_0,index,Unnamed: 0,Unnamed: 0.1,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration,foot,knee,lower leg,upper leg,back,arm,hand,upper body,core and hip,head and neck,foot_count,knee_count,lower leg_count,upper leg_count,back_count,arm_count,hand_count,upper body_count,core and hip_count,head and neck_count,Total Duration,Total num. of inj,days since start,Season Type,Date_adjusted,7_day_back,28_day_back,playoff start date,days_since_start_of_playoffs,player_id,Team_id
534,695,695,695,21715.0,2015-12-10,Hawks,,Mike Scott,placed on IL with sore knee,Mike Scott,2015-16,sore knee,knee,4,22,0,0,0,6,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,28,4,44,Regular Season,12/10/2015,12/03/2015,11/12/2015,04/16/2016,0,203118,1610612737
535,696,696,696,21735.0,2015-12-14,Nuggets,,Emmanuel Mudiay,placed on IL with sprained right ankle,Emmanuel Mudiay,2015-16,sprained right ankle,foot,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Regular Season,12/14/2015,12/07/2015,11/16/2015,04/16/2016,0,1626144,1610612743
536,697,697,697,21745.0,2015-12-16,Jazz,,Rudy Gobert,placed on IL with sprained MCL in left knee,Rudy Gobert,2015-16,sprained MCL in left knee,knee,24,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,50,Regular Season,12/16/2015,12/09/2015,11/18/2015,04/16/2016,0,203497,1610612762
537,698,698,698,21746.0,2015-12-16,Mavericks,,John Jenkins,placed on IL with concussion,John Jenkins,2015-16,concussion,head and neck,2,0,0,0,114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,114,2,50,Regular Season,12/16/2015,12/09/2015,11/18/2015,04/16/2016,0,203098,1610612742
538,699,699,699,21752.0,2015-12-17,Cavaliers,,Iman Shumpert,placed on IL with strained right groin,Iman Shumpert,2015-16,strained right groin,upper leg,3,0,287,0,2,0,0,45,12,0,0,0,4,0,2,0,0,1,2,0,0,346,9,51,Regular Season,12/17/2015,12/10/2015,11/19/2015,04/16/2016,0,202697,1610612739
539,700,700,700,21760.0,2015-12-18,Heat,,Tyler Johnson,placed on IL with shoulder injury,Tyler Johnson,2015-16,shoulder injury,upper body,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,Regular Season,12/18/2015,12/11/2015,11/20/2015,04/16/2016,0,204020,1610612748
540,701,701,701,21776.0,2015-12-20,Cavaliers,,Mo Williams,placed on IL with sprained right thumb,Mo Williams,2015-16,sprained right thumb,hand,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,54,Regular Season,12/20/2015,12/13/2015,11/22/2015,04/16/2016,0,2590,1610612739
541,702,702,702,21778.0,2015-12-20,Pelicans,,Alexis Ajinca,placed on IL with calf injury,Alexis Ajinca,2015-16,calf injury,lower leg,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,Regular Season,12/20/2015,12/13/2015,11/22/2015,04/16/2016,0,201582,1610612740
542,703,703,703,21780.0,2015-12-20,Raptors,,DeMarre Carroll,placed on IL with bruised right knee,DeMarre Carroll,2015-16,bruised right knee,knee,6,8,6,20,9,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,43,6,54,Regular Season,12/20/2015,12/13/2015,11/22/2015,04/16/2016,0,201960,1610612761
543,704,704,704,21783.0,2015-12-21,Trail Blazers,,CJ McCollum,placed on IL with sore/sprained ankles,CJ McCollum,2015-16,sore,foot,2,69,0,0,0,0,0,26,0,0,0,2,0,0,0,0,0,1,0,0,0,95,3,55,Regular Season,12/21/2015,12/14/2015,11/23/2015,04/16/2016,0,203468,1610612757
544,705,705,705,21784.0,2015-12-21,Trail Blazers,,Damian Lillard,placed on IL with sore left plantar fascia,Damian Lillard,2015-16,sore left plantar fascia,foot,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,Regular Season,12/21/2015,12/14/2015,11/23/2015,04/16/2016,0,203081,1610612757
545,706,706,706,21791.0,2015-12-21,Knicks,,Kyle O'Quinn,placed on IL with sprained right ankle,Kyle O'Quinn,2015-16,sprained right ankle,foot,5,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,29,3,55,Regular Season,12/21/2015,12/14/2015,11/23/2015,04/16/2016,0,203124,1610612752
546,707,707,707,21789.0,2015-12-21,Celtics,,Amir Johnson,placed on IL with foot injury,Amir Johnson,2015-16,foot injury,foot,5,35,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,35,7,55,Regular Season,12/21/2015,12/14/2015,11/23/2015,04/16/2016,0,101161,1610612738
547,708,708,708,21798.0,2015-12-22,Nuggets,,Danilo Gallinari,placed on IL with sprained left ankle,Danilo Gallinari,2015-16,sprained left ankle,foot,11,18,244,4,0,20,0,12,0,0,0,2,5,1,0,2,0,1,0,0,0,298,11,56,Regular Season,12/22/2015,12/15/2015,11/24/2015,04/16/2016,0,201568,1610612743
548,709,709,709,21796.0,2015-12-22,Mavericks,,Devin Harris,placed on IL with strained right hamstring,Devin Harris,2015-16,strained right hamstring,upper leg,4,125,4,70,3,0,0,17,11,2,0,7,1,7,2,0,0,3,4,1,0,232,25,56,Regular Season,12/22/2015,12/15/2015,11/24/2015,04/16/2016,0,2734,1610612742
549,710,710,710,21795.0,2015-12-22,Heat,,Goran Dragic,placed on IL with sore left calf  / wrist injury ,Goran Dragic,2015-16,sore left calf  ,lower leg,3,16,0,0,0,3,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,20,4,56,Regular Season,12/22/2015,12/15/2015,11/24/2015,04/16/2016,0,201609,1610612748
550,711,711,711,21810.0,2015-12-23,Mavericks,,Deron Williams,placed on IL with strained left hamstring,Deron Williams,2015-16,strained left hamstring,upper leg,3,42,4,13,0,0,0,13,0,24,0,4,2,4,1,0,0,2,0,1,0,96,14,57,Regular Season,12/23/2015,12/16/2015,11/25/2015,04/16/2016,0,101114,1610612742
551,712,712,712,21816.0,2015-12-25,Bulls,,Joakim Noah,placed on IL with sprained left shoulder,Joakim Noah,2015-16,sprained left shoulder,upper body,17,67,3,0,0,0,0,67,0,0,3,7,1,0,0,0,0,1,1,0,1,140,11,59,Regular Season,12/25/2015,12/18/2015,11/27/2015,04/16/2016,0,201149,1610612741
552,713,713,713,21821.0,2015-12-25,Lakers,,Ryan Kelly,placed on IL with neck injury,Ryan Kelly,2015-16,neck injury,head and neck,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,Regular Season,12/25/2015,12/18/2015,11/27/2015,04/16/2016,0,203527,1610612747
553,714,714,714,21827.0,2015-12-26,Celtics,,David Lee,placed on IL with sore lower back,David Lee,2015-16,sore lower back,back,4,24,0,11,51,10,0,0,4,4,0,1,0,1,2,3,0,0,1,1,0,104,9,60,Regular Season,12/26/2015,12/19/2015,11/28/2015,04/16/2016,0,101135,1610612738
554,715,715,715,21829.0,2015-12-26,Clippers,,Blake Griffin,placed on IL with torn left quadriceps tendon,Blake Griffin,2015-16,torn left quadriceps tendon,upper leg,92,0,0,158,0,0,18,0,0,0,0,0,0,1,1,0,1,0,0,0,0,176,3,60,Regular Season,12/26/2015,12/19/2015,11/28/2015,04/16/2016,0,201933,1610612746
555,716,716,716,21837.0,2015-12-26,Spurs,,Tim Duncan,placed on IL with right knee injury,Tim Duncan,2015-16,right knee injury,knee,7,30,22,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,52,9,60,Regular Season,12/26/2015,12/19/2015,11/28/2015,04/16/2016,0,1495,1610612759
556,717,717,717,21846.0,2015-12-27,Trail Blazers,,Ed Davis,placed on IL with ankle injury,Ed Davis,2015-16,ankle injury,foot,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Regular Season,12/27/2015,12/20/2015,11/29/2015,04/16/2016,0,202334,1610612757
557,718,718,718,21852.0,2015-12-27,Knicks,,Lou Amundson,placed on IL with back spasms,Lou Amundson,2015-16,back spasms,back,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,2,61,Regular Season,12/27/2015,12/20/2015,11/29/2015,04/16/2016,0,200811,1610612752
558,719,719,719,21875.0,2015-12-28,Suns,,Eric Bledsoe,placed on IL with sprained left knee (out for season),Eric Bledsoe,2015-16,sprained left knee ,knee,278,0,101,0,13,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,114,6,62,Regular Season,12/28/2015,12/21/2015,11/30/2015,04/16/2016,0,202339,1610612756
559,720,720,720,21860.0,2015-12-28,Hawks,,Tiago Splitter,placed on IL with strained calf,Tiago Splitter,2015-16,strained calf,lower leg,10,15,0,70,9,1,0,0,20,10,0,2,0,7,1,1,0,0,1,1,0,125,13,62,Regular Season,12/28/2015,12/21/2015,11/30/2015,04/16/2016,0,201168,1610612737
560,721,721,721,21856.0,2015-12-28,Bucks,,Damien Inglis,placed on IL with sore ankle,Damien Inglis,2015-16,sore ankle,foot,8,324,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,324,3,62,Regular Season,12/28/2015,12/21/2015,11/30/2015,04/16/2016,0,203996,1610612749
561,722,722,722,21868.0,2015-12-28,Mavericks,,Deron Williams,placed on IL with strained left hamstring,Deron Williams,2015-16,strained left hamstring,upper leg,4,42,4,13,3,0,0,13,0,24,0,4,2,4,2,0,0,2,0,1,0,99,15,62,Regular Season,12/28/2015,12/21/2015,11/30/2015,04/16/2016,0,101114,1610612742
562,723,723,723,21866.0,2015-12-28,Jazz,,Alec Burks,placed on IL with fractured fibula in left leg,Alec Burks,2015-16,fractured fibula in left leg,lower leg,102,8,0,0,0,0,0,0,281,0,0,1,0,1,0,0,0,0,2,0,0,289,4,62,Regular Season,12/28/2015,12/21/2015,11/30/2015,04/16/2016,0,202692,1610612762
563,724,724,724,21883.0,2015-12-30,Suns,,Ronnie Price,placed on IL with toe injury,Ronnie Price,2015-16,toe injury,foot,3,37,0,0,0,0,183,0,0,0,4,7,0,0,0,0,1,0,0,0,1,224,9,64,Regular Season,12/30/2015,12/23/2015,12/02/2015,04/16/2016,0,101179,1610612756
564,725,725,725,21884.0,2015-12-31,Pacers,,Ian Mahinmi,placed on IL with knee injury,Ian Mahinmi,2015-16,knee injury,knee,2,20,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,23,4,65,Regular Season,12/31/2015,12/24/2015,12/03/2015,04/16/2016,0,101133,1610612754
565,726,726,726,21891.0,2016-01-01,Hornets,,Al Jefferson,placed on IL recovering from surgery on right knee to repair torn lateral meniscus,Al Jefferson,2015-16,L recovering from surgery on right knee to repair torn lateral meniscus,knee,49,57,226,17,19,0,0,0,0,0,0,5,2,2,1,0,0,0,0,0,0,319,10,66,Regular Season,01/01/2016,12/25/2015,12/04/2015,04/16/2016,0,2744,1610612766
566,727,727,727,21892.0,2016-01-01,Knicks,,Cleanthony Early,placed on IL with knee injury ,Cleanthony Early,2015-16,knee injury ,knee,79,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,2,66,Regular Season,01/01/2016,12/25/2015,12/04/2015,04/16/2016,0,203921,1610612752
567,728,728,728,21893.0,2016-01-01,Lakers,,Kobe Bryant,placed on IL with sore right shoulder,Kobe Bryant,2015-16,sore right shoulder,upper body,6,257,0,285,0,7,0,42,191,0,0,4,0,1,0,2,0,2,3,0,0,782,12,66,Regular Season,01/01/2016,12/25/2015,12/04/2015,04/16/2016,0,977,1610612747
568,729,729,729,21915.0,2016-01-02,Warriors,,Leandro Barbosa,placed on IL with sprained left shoulder,Leandro Barbosa,2015-16,sprained left shoulder,upper body,11,256,227,15,0,0,0,234,11,0,0,5,2,1,0,0,0,3,2,0,0,743,13,67,Regular Season,01/02/2016,12/26/2015,12/05/2015,04/16/2016,0,2571,1610612744
569,730,730,730,21904.0,2016-01-02,Mavericks,,Devin Harris,placed on IL with strained back,Devin Harris,2015-16,strained back,back,3,125,4,70,7,0,0,17,11,2,0,7,1,7,2,1,0,3,4,1,0,236,26,67,Regular Season,01/02/2016,12/26/2015,12/05/2015,04/16/2016,0,2734,1610612742
570,731,731,731,21929.0,2016-01-04,Raptors,,DeMarre Carroll,placed on IL with sore right knee,DeMarre Carroll,2015-16,sore right knee,knee,94,8,12,20,9,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,49,7,69,Regular Season,01/04/2016,12/28/2015,12/07/2015,04/16/2016,0,201960,1610612761
571,732,732,732,21922.0,2016-01-04,Celtics,,Avery Bradley,placed on IL with sore left hip,Avery Bradley,2015-16,sore left hip,core and hip,6,44,0,0,6,0,5,0,226,0,0,2,0,0,2,0,1,0,1,1,0,281,7,69,Regular Season,01/04/2016,12/28/2015,12/07/2015,04/16/2016,0,202340,1610612738
572,733,733,733,21923.0,2016-01-04,Heat,,Hassan Whiteside,placed on IL with sore right knee,Hassan Whiteside,2015-16,sore right knee,knee,2,0,6,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,10,3,69,Regular Season,01/04/2016,12/28/2015,12/07/2015,04/16/2016,0,202355,1610612748
573,734,734,734,21928.0,2016-01-04,Nets,,Jarrett Jack,placed on IL with torn ACL in right knee (out for season),Jarrett Jack,2015-16,torn ACL in right knee ,knee,271,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,69,Regular Season,01/04/2016,12/28/2015,12/07/2015,04/16/2016,0,101127,1610612751
574,735,735,735,21933.0,2016-01-04,Thunder,,Kevin Durant,placed on IL with sprained right big toe,Kevin Durant,2015-16,sprained right big toe,foot,2,313,4,0,10,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,327,10,69,Regular Season,01/04/2016,12/28/2015,12/07/2015,04/16/2016,0,201142,1610612760
575,736,736,736,21932.0,2016-01-04,Spurs,,Tony Parker,placed on IL with sore right hip,Tony Parker,2015-16,sore right hip,core and hip,4,1,0,3,17,17,0,0,0,0,0,1,0,1,2,3,0,0,0,1,0,38,8,69,Regular Season,01/04/2016,12/28/2015,12/07/2015,04/16/2016,0,2225,1610612759
576,737,737,737,21937.0,2016-01-05,Bucks,,Jerryd Bayless,placed on IL with sprained ankle,Jerryd Bayless,2015-16,sprained ankle,foot,10,34,6,0,0,0,0,0,0,187,0,4,2,0,0,0,0,0,0,1,0,227,7,70,Regular Season,01/05/2016,12/29/2015,12/08/2015,04/16/2016,0,201573,1610612749
577,738,738,738,21960.0,2016-01-06,Wizards,,Kris Humphries,placed on IL with sore right knee,Kris Humphries,2015-16,sore right knee,knee,34,191,14,0,38,0,0,0,4,6,0,3,2,0,2,0,0,0,1,1,0,253,9,71,Regular Season,01/06/2016,12/30/2015,12/09/2015,04/16/2016,0,2743,1610612764
578,739,739,739,21984.0,2016-01-08,Suns,,Ronnie Price,placed on IL with toe injury,Ronnie Price,2015-16,toe injury,foot,42,40,0,0,0,0,183,0,0,0,4,8,0,0,0,0,1,0,0,0,1,227,10,73,Regular Season,01/08/2016,01/01/2016,12/11/2015,04/16/2016,0,101179,1610612756
579,740,740,740,21973.0,2016-01-08,Grizzlies,,Jordan Adams,placed on IL with right knee injury (out for season),Jordan Adams,2015-16,right knee injury ,knee,96,0,51,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,51,2,73,Regular Season,01/08/2016,01/01/2016,12/11/2015,04/16/2016,0,203919,1610612763
580,741,741,741,21988.0,2016-01-09,Hawks,,Thabo Sefolosha,placed on IL with sore right wrist,Thabo Sefolosha,2015-16,sore right wrist,hand,4,4,12,148,0,0,0,0,0,0,0,4,2,5,0,0,0,1,0,0,0,164,12,74,Regular Season,01/09/2016,01/02/2016,12/12/2015,04/16/2016,0,200757,1610612737
581,742,742,742,21992.0,2016-01-10,Nuggets,,Jameer Nelson,placed on IL with hip injury,Jameer Nelson,2015-16,hip injury,core and hip,3,67,11,12,2,4,0,0,120,181,19,5,2,2,1,2,0,0,1,4,4,416,21,75,Regular Season,01/10/2016,01/03/2016,12/13/2015,04/16/2016,0,2749,1610612743
582,743,743,743,22024.0,2016-01-13,Wizards,,Marcin Gortat,placed on IL with sore left knee,Marcin Gortat,2015-16,sore left knee,knee,3,207,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,207,2,78,Regular Season,01/13/2016,01/06/2016,12/16/2015,04/16/2016,0,101162,1610612764
583,744,744,744,22022.0,2016-01-13,Warriors,,James Michael McAdoo,placed on IL with sprained toe on left foot,James Michael McAdoo,2015-16,sprained toe on left foot,foot,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,Regular Season,01/13/2016,01/06/2016,12/16/2015,04/16/2016,0,203949,1610612744
584,745,745,745,22013.0,2016-01-13,Heat,,Goran Dragic,placed on IL with strained left calf,Goran Dragic,2015-16,strained left calf,lower leg,16,16,0,3,0,3,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,23,5,78,Regular Season,01/13/2016,01/06/2016,12/16/2015,04/16/2016,0,201609,1610612748
585,746,746,746,22026.0,2016-01-14,Bulls,,Pau Gasol,placed on IL for rest / shoulder injury,Pau Gasol,2015-16,L for rest / shoulder injury,upper body,1,154,0,34,4,3,0,0,0,0,0,5,0,4,1,1,0,0,1,0,0,195,12,79,Regular Season,01/14/2016,01/07/2016,12/17/2015,04/16/2016,0,2200,1610612741
586,747,747,747,22028.0,2016-01-14,Lakers,,Brandon Bass,placed on IL with sore foot / ankle injury ,Brandon Bass,2015-16,sore foot ,foot,3,2,16,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,18,3,79,Regular Season,01/14/2016,01/07/2016,12/17/2015,04/16/2016,0,101138,1610612747
587,748,748,748,22039.0,2016-01-15,Nuggets,,Jusuf Nurkic,placed on IL with ankle injury / sore left knee ,Jusuf Nurkic,2015-16,ankle injury ,foot,6,0,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19,2,80,Regular Season,01/15/2016,01/08/2016,12/18/2015,04/16/2016,0,203994,1610612743
588,749,749,749,22046.0,2016-01-17,Lakers,,Larry Nance Jr.,placed on IL with sore right knee,Larry Nance Jr.,2015-16,sore right knee,knee,9,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,82,Regular Season,01/17/2016,01/10/2016,12/20/2015,04/16/2016,0,1626204,1610612747
589,750,750,750,22058.0,2016-01-18,Magic,,Victor Oladipo,placed on IL with sprained knee,Victor Oladipo,2015-16,sprained knee,knee,4,4,0,0,0,0,0,0,0,0,22,2,1,0,0,0,0,0,0,0,2,26,5,83,Regular Season,01/18/2016,01/11/2016,12/21/2015,04/16/2016,0,203506,1610612753
590,751,751,751,22055.0,2016-01-18,Bulls,,Joakim Noah,placed on IL with surgery on left shoulder to repair separation (out for season),Joakim Noah,2015-16,surgery on left shoulder to repair separation ,upper body,257,67,3,0,0,0,0,67,17,0,3,7,1,0,0,0,0,1,2,0,1,157,12,83,Regular Season,01/18/2016,01/11/2016,12/21/2015,04/16/2016,0,201149,1610612741
591,752,752,752,22072.0,2016-01-20,Mavericks,,Raymond Felton,placed on IL with left eye injury,Raymond Felton,2015-16,left eye injury,head and neck,2,66,0,0,13,0,0,25,0,2,0,6,0,0,1,0,0,1,0,1,1,106,10,85,Regular Season,01/20/2016,01/13/2016,12/23/2015,04/16/2016,0,101109,1610612742
592,753,753,753,22069.0,2016-01-20,Heat,,Chris Andersen,placed on IL with sore left knee,Chris Andersen,2015-16,sore left knee,knee,30,27,70,0,4,20,9,76,33,25,0,2,9,0,1,2,1,2,1,2,0,264,20,85,Regular Season,01/20/2016,01/13/2016,12/23/2015,04/16/2016,0,2365,1610612748
593,754,754,754,22071.0,2016-01-20,Mavericks,,Dirk Nowitzki,placed on IL with right knee effusion,Dirk Nowitzki,2015-16,right knee effusion,knee,2,10,74,0,0,0,2,0,0,0,0,2,4,0,0,0,1,0,0,0,0,86,7,85,Regular Season,01/20/2016,01/13/2016,12/23/2015,04/16/2016,0,1717,1610612742
594,755,755,755,22077.0,2016-01-21,Nuggets,,Jameer Nelson,placed on IL with sprained right wrist,Jameer Nelson,2015-16,sprained right wrist,hand,7,67,11,12,2,4,0,0,120,184,19,5,2,2,1,2,0,1,1,4,4,419,22,86,Regular Season,01/21/2016,01/14/2016,12/24/2015,04/16/2016,0,2749,1610612743
595,756,756,756,22079.0,2016-01-21,Spurs,,Tony Parker,placed on IL with right hip injury,Tony Parker,2015-16,right hip injury,core and hip,1,1,0,3,17,17,0,0,0,4,0,1,0,1,2,3,0,0,0,2,0,42,9,86,Regular Season,01/21/2016,01/14/2016,12/24/2015,04/16/2016,0,2225,1610612759
596,757,757,757,22090.0,2016-01-22,Spurs,,LaMarcus Aldridge,placed on IL with back spasms,LaMarcus Aldridge,2015-16,back spasms,back,3,14,0,0,0,11,0,0,12,0,0,3,0,0,0,2,0,0,1,0,0,37,6,87,Regular Season,01/22/2016,01/15/2016,12/25/2015,04/16/2016,0,200746,1610612759
597,758,758,758,22099.0,2016-01-23,Pelicans,,Eric Gordon,placed on IL recovering from surgery to repair fractured right ring finger,Eric Gordon,2015-16,L recovering from surgery to repair fractured right ring finger,hand,35,3,136,27,0,0,0,21,45,5,0,1,2,3,0,0,0,3,3,1,0,237,13,88,Regular Season,01/23/2016,01/16/2016,12/26/2015,04/16/2016,0,201569,1610612740
598,759,759,759,22102.0,2016-01-24,Mavericks,,Zaza Pachulia,placed on IL with sore right Achilles,Zaza Pachulia,2015-16,sore right Achilles,foot,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,Regular Season,01/24/2016,01/17/2016,12/27/2015,04/16/2016,0,2585,1610612742
599,760,760,760,22109.0,2016-01-25,Spurs,,Tim Duncan,placed on IL with sore right knee,Tim Duncan,2015-16,sore right knee,knee,16,30,29,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,1,0,0,59,10,90,Regular Season,01/25/2016,01/18/2016,12/28/2015,04/16/2016,0,1495,1610612759
600,761,761,761,22122.0,2016-01-26,Pacers,,Rodney Stuckey,placed on IL with sprained right ankle,Rodney Stuckey,2015-16,sprained right ankle,foot,31,7,1,6,0,0,0,55,9,0,0,2,1,1,0,0,0,2,2,0,0,78,8,91,Regular Season,01/26/2016,01/19/2016,12/29/2015,04/16/2016,0,201155,1610612754
601,762,762,762,22118.0,2016-01-26,Lakers,,Kobe Bryant,placed on IL with sore shoulder,Kobe Bryant,2015-16,sore shoulder,upper body,2,257,0,285,0,7,0,42,197,0,0,4,0,1,0,2,0,2,4,0,0,788,13,91,Regular Season,01/26/2016,01/19/2016,12/29/2015,04/16/2016,0,977,1610612747
602,763,763,763,22125.0,2016-01-26,Wizards,,Bradley Beal,placed on IL with fractured nose and concussion,Bradley Beal,2015-16,fractured nose and concussion,head and neck,2,33,0,20,181,0,0,21,0,0,0,3,0,1,1,0,0,1,0,0,1,255,7,91,Regular Season,01/26/2016,01/19/2016,12/29/2015,04/16/2016,0,203078,1610612764
603,764,764,764,22120.0,2016-01-26,Mavericks,,Devin Harris,placed on IL with sprained left big toe,Devin Harris,2015-16,sprained left big toe,foot,26,125,4,70,7,3,0,17,11,2,0,8,1,7,2,1,0,3,4,1,0,239,27,91,Regular Season,01/26/2016,01/19/2016,12/29/2015,04/16/2016,0,2734,1610612742
604,765,765,765,22130.0,2016-01-27,Warriors,,Festus Ezeli,placed on IL with sore left knee,Festus Ezeli,2015-16,sore left knee,knee,67,40,336,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,376,3,92,Regular Season,01/27/2016,01/20/2016,12/30/2015,04/16/2016,0,203105,1610612744
605,766,766,766,22132.0,2016-01-28,Bucks,,O.J. Mayo,placed on IL with sore left hamstring,O.J. Mayo,2015-16,sore left hamstring,upper leg,12,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,2,93,Regular Season,01/28/2016,01/21/2016,12/31/2015,04/16/2016,0,201564,1610612749
606,767,767,767,22137.0,2016-01-28,Nuggets,,Joffrey Lauvergne,placed on IL with infection in right toe,Joffrey Lauvergne,2015-16,infection in right toe,foot,4,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,2,93,Regular Season,01/28/2016,01/21/2016,12/31/2015,04/16/2016,0,203530,1610612743
607,768,768,768,22153.0,2016-01-29,Thunder,,Cameron Payne,placed on IL with concussion,Cameron Payne,2015-16,concussion,head and neck,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Regular Season,01/29/2016,01/22/2016,01/01/2016,04/16/2016,0,1626166,1610612760
608,769,769,769,22146.0,2016-01-29,Knicks,,Jose Calderon,placed on IL with sore right groin,Jose Calderon,2015-16,sore right groin,upper leg,6,236,4,28,0,3,4,0,0,27,0,5,1,2,1,1,1,0,0,2,0,302,13,94,Regular Season,01/29/2016,01/22/2016,01/01/2016,04/16/2016,0,101181,1610612752
609,770,770,770,22144.0,2016-01-29,Hornets,,Cody Zeller,placed on IL with strained right shoulder,Cody Zeller,2015-16,strained right shoulder,upper body,5,2,0,0,0,0,0,0,202,0,0,1,0,0,0,0,0,0,3,0,0,204,4,94,Regular Season,01/29/2016,01/22/2016,01/01/2016,04/16/2016,0,203469,1610612766
610,771,771,771,22140.0,2016-01-29,Heat,,Hassan Whiteside,placed on IL with strained left hip,Hassan Whiteside,2015-16,strained left hip,core and hip,5,0,8,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,1,0,12,4,94,Regular Season,01/29/2016,01/22/2016,01/01/2016,04/16/2016,0,202355,1610612748
611,772,772,772,22141.0,2016-01-29,Heat,,Tyler Johnson,placed on IL with strained left shoulder,Tyler Johnson,2015-16,strained left shoulder,upper body,89,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,10,2,94,Regular Season,01/29/2016,01/22/2016,01/01/2016,04/16/2016,0,204020,1610612748
612,773,773,773,22166.0,2016-02-01,Mavericks,,Salah Mejri,placed on IL with illness  / right knee injury ,Salah Mejri,2015-16,illness  ,knee,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Regular Season,02/01/2016,01/25/2016,01/04/2016,04/16/2016,0,1626257,1610612742
613,774,774,774,22165.0,2016-02-01,Hawks,,Tiago Splitter,placed on IL with sore right hip (out for season),Tiago Splitter,2015-16,sore right hip ,core and hip,151,15,0,80,9,1,0,0,20,10,0,2,0,7,1,1,0,0,1,2,0,135,14,97,Regular Season,02/01/2016,01/25/2016,01/04/2016,04/16/2016,0,201168,1610612737
614,775,775,775,22168.0,2016-02-01,Nuggets,,Jameer Nelson,placed on IL with sore/sprained left wrist,Jameer Nelson,2015-16,sore,hand,28,67,11,12,2,4,0,7,120,184,19,5,2,2,1,2,0,2,1,4,4,426,23,97,Regular Season,02/01/2016,01/25/2016,01/04/2016,04/16/2016,0,2749,1610612743
615,776,776,776,22179.0,2016-02-02,Timberwolves,,Nikola Pekovic,placed on IL with sore right ankle/foot (out for season),Nikola Pekovic,2015-16,sore right ankle,foot,607,353,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,1,0,355,9,98,Regular Season,02/02/2016,01/26/2016,01/05/2016,04/16/2016,0,201593,1610612750
616,777,777,777,22178.0,2016-02-02,Raptors,,James Johnson,placed on IL with sprained left ankle,James Johnson,2015-16,sprained left ankle,foot,17,8,0,0,7,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,15,6,98,Regular Season,02/02/2016,01/26/2016,01/05/2016,04/16/2016,0,201949,1610612761
