,Unnamed: 0,Date,Team,Acquired,Relinquished,Notes,Affected Player,Season,Injury Type,Injury Part,Injury Duration
1975,27565.0,2018-12-16,Raptors,,Fred VanVleet,placed on IL with sore lower back,Fred VanVleet,2018-19,sore lower back,back,3
1976,27566.0,2018-12-16,Raptors,,Kyle Lowry,placed on IL with left thigh injury,Kyle Lowry,2018-19,left thigh injury,upper leg,6
1977,27563.0,2018-12-16,Pacers,,Tyreke Evans,placed on IL with bruised right knee,Tyreke Evans,2018-19,bruised right knee,knee,2
1978,27570.0,2018-12-17,Bucks,,Ersan Ilyasova,placed on IL with fractured nose,Ersan Ilyasova,2018-19,fractured nose,head and neck,18
1979,27573.0,2018-12-17,Grizzlies,,Mike Conley,placed on IL with left hamstring injury,Mike Conley,2018-19,left hamstring injury,upper leg,2
1980,27580.0,2018-12-18,Mavericks,,Maxi Kleber,placed on IL with toe injury,Maxi Kleber,2018-19,toe injury,foot,2
1981,27588.0,2018-12-19,Celtics,,Marcus Morris,placed on IR with sore right knee,Marcus Morris,2018-19,placed on IR with sore right knee,knee,4
1982,27589.0,2018-12-19,Grizzlies,,Joakim Noah,placed on IL with right heel injury,Joakim Noah,2018-19,right heel injury,foot,7
1983,27594.0,2018-12-19,Pelicans,,Julius Randle,placed on IL with sprained right ankle,Julius Randle,2018-19,sprained right ankle,foot,2
1984,27598.0,2018-12-19,Timberwolves,,Jeff Teague,placed on IL with left ankle injury,Jeff Teague,2018-19,left ankle injury,foot,16
1985,27603.0,2018-12-21,Celtics,,Aron Baynes,placed on IL with fractured left hand,Aron Baynes,2018-19,fractured left hand,hand,26
1986,27609.0,2018-12-21,Magic,,Jonathon Simmons,placed on IL with sprained right ankle,Jonathon Simmons,2018-19,sprained right ankle,foot,2
1987,27616.0,2018-12-22,Warriors,,Jacob Evans,placed on IL with left foot injury,Jacob Evans,2018-19,left foot injury,foot,5
1988,27615.0,2018-12-22,Rockets,,Chris Paul,placed on IL with strained left hamstring,Chris Paul,2018-19,strained left hamstring,upper leg,36
1989,27611.0,2018-12-22,76ers,,Wilson Chandler,placed on IL with bruised left quadricep,Wilson Chandler,2018-19,bruised left quadricep,upper leg,3
1990,27618.0,2018-12-23,Cavaliers,,Rodney Hood,placed on IL with left Achilles injury,Rodney Hood,2018-19,left Achilles injury,foot,3
1991,27623.0,2018-12-23,Hawks,,John Collins,placed on IL with sprained left ankle,John Collins,2018-19,sprained left ankle,foot,3
1992,27628.0,2018-12-23,Pacers,,Tyreke Evans,placed on IL with bruised right knee,Tyreke Evans,2018-19,bruised right knee,knee,3
1993,27629.0,2018-12-23,Timberwolves,,Derrick Rose,placed on IL with sore left ankle,Derrick Rose,2018-19,sore left ankle,foot,3
1994,27636.0,2018-12-26,Cavaliers,,David Nwaba,placed on IL with sprained left ankle,David Nwaba,2018-19,sprained left ankle,foot,38
1995,27648.0,2018-12-26,Raptors,,Kyle Lowry,placed on IL with sore lower back,Kyle Lowry,2018-19,sore lower back,back,8
1996,27655.0,2018-12-27,Lakers,,LeBron James,placed on IL with strained left groin,LeBron James,2018-19,strained left groin,upper leg,35
1997,27656.0,2018-12-27,Lakers,,Rajon Rondo,placed on IL with right finger injury,Rajon Rondo,2018-19,right finger injury,hand,28
1998,27653.0,2018-12-27,Celtics,,Robert Williams III,placed on IL with strained left groin,Robert Williams III,2018-19,strained left groin,upper leg,11
1999,27666.0,2018-12-28,Wizards,,Markieff Morris,placed on IL with stiff neck,Markieff Morris,2018-19,stiff neck,head and neck,1
2000,27665.0,2018-12-28,Wizards,,John Wall,placed on IL with torn left Achilles tendon (out for season),John Wall,2018-19,torn left Achilles tendon ,foot,704
2001,27659.0,2018-12-28,Mavericks,,Wesley Matthews,placed on IL with sore right foot,Wesley Matthews,2018-19,sore right foot,foot,3
2002,27669.0,2018-12-29,Hawks,,Dewayne Dedmon,placed on IL with sore left knee,Dewayne Dedmon,2018-19,sore left knee,knee,4
